medium	description	compound	name
Base	Rhodobacter sphaeroides base medium	n2	N2_e
Base	Rhodobacter sphaeroides base medium	ppa	Propionate_e
Base	Rhodobacter sphaeroides base medium	D-Lyxitol	D_Lyxitol_e
Base	Rhodobacter sphaeroides base medium	Lcyst	L_Cysteate_e
Base	Rhodobacter sphaeroides base medium	cll_345	D_Aspartate_e
Base	Rhodobacter sphaeroides base medium	23camp	2_3_Cyclic_AMP_e
Base	Rhodobacter sphaeroides base medium	23cump	2_3_Cyclic_UMP_e
Base	Rhodobacter sphaeroides base medium	23cgmp	2_3_Cyclic_GMP_e
Base	Rhodobacter sphaeroides base medium	cholp	Phosphocholine_e
Base	Rhodobacter sphaeroides base medium	Ribitol	Ribitol_e
Base	Rhodobacter sphaeroides base medium	glyclt	Glycolate_e
Base	Rhodobacter sphaeroides base medium	akg	2_Oxoglutarate_e
Base	Rhodobacter sphaeroides base medium	4h2oglt	4_Hydroxy_2_oxoglutarate_e
Base	Rhodobacter sphaeroides base medium	altrn	D_Altronate_e
Base	Rhodobacter sphaeroides base medium	cgly	Cys_Gly_e
Base	Rhodobacter sphaeroides base medium	bgly	Hippurate_e
Base	Rhodobacter sphaeroides base medium	chitob	Chitobiose_e
Base	Rhodobacter sphaeroides base medium	applp	R_1_Aminopropan_2_yl_phosphate_e
Base	Rhodobacter sphaeroides base medium	D-Citramalate	D_Citramalate_e
Base	Rhodobacter sphaeroides base medium	3pg	3_Phosphoglycerate_e
Base	Rhodobacter sphaeroides base medium	h2s	H2S_e
Base	Rhodobacter sphaeroides base medium	btn	BIOT_e
Base	Rhodobacter sphaeroides base medium	nac	Niacin_e
Base	Rhodobacter sphaeroides base medium	Photon	Photon_e
Base	Rhodobacter sphaeroides base medium	dmso	DMSO_e
Base	Rhodobacter sphaeroides base medium	dms	Methyl_sulfide_e
Base	Rhodobacter sphaeroides base medium	meoh	Methanol_e
Base	Rhodobacter sphaeroides base medium	5mta	5_Methylthioadenosine_e
Base	Rhodobacter sphaeroides base medium	gcald	Glycolaldehyde_e
Base	Rhodobacter sphaeroides base medium	ch4s	MTTL_e
Base	Rhodobacter sphaeroides base medium	tartr-M	meso_Tartrate_e
Base	Rhodobacter sphaeroides base medium	4-coum	4_Coumarate_e
Base	Rhodobacter sphaeroides base medium	seln	Selenide_e
Base	Rhodobacter sphaeroides base medium	5mcsn	5_Methylcytosine_e
Base	Rhodobacter sphaeroides base medium	amacald	Aminoacetaldehyde_e
Base	Rhodobacter sphaeroides base medium	etha	Aminoethanol_e
Base	Rhodobacter sphaeroides base medium	dtbt	Dethiobiotin_e
Base	Rhodobacter sphaeroides base medium	dad-5	5_Deoxyadenosine_e
Base	Rhodobacter sphaeroides base medium	h	H_e
Base	Rhodobacter sphaeroides base medium	3spyr	3_Sulfopyruvate_e
Base	Rhodobacter sphaeroides base medium	4abutn	4_Aminobutanal_e
Base	Rhodobacter sphaeroides base medium	D-Proline	D_Proline_e
Base	Rhodobacter sphaeroides base medium	so3	Sulfite_e
Base	Rhodobacter sphaeroides base medium	2hbut	2_Hydroxybutyrate_e
Base	Rhodobacter sphaeroides base medium	Citraconate	Citraconate_e
Base	Rhodobacter sphaeroides base medium	CPD1278	CPD1278_e
Base	Rhodobacter sphaeroides base medium	3-Oxalomalate	3_Oxalomalate_e
Base	Rhodobacter sphaeroides base medium	pala	Palatinose_e
Base	Rhodobacter sphaeroides base medium	tartr-L	Tartrate_e
Base	Rhodobacter sphaeroides base medium	Citramalate	Citramalate_e
Base	Rhodobacter sphaeroides base medium	dextrin	Dextrin_e
Base	Rhodobacter sphaeroides base medium	4hphac	4_Hydroxyphenylacetate_e
Base	Rhodobacter sphaeroides base medium	tym	Tyramine_e
Base	Rhodobacter sphaeroides base medium	actn-R	ACTN_e
Base	Rhodobacter sphaeroides base medium	5aptn	5_Aminopentanoate_e
Base	Rhodobacter sphaeroides base medium	maln	Malonate_e
Base	Rhodobacter sphaeroides base medium	4abut	GABA_e
Base	Rhodobacter sphaeroides base medium	galur	D_Galacturonate_e
Base	Rhodobacter sphaeroides base medium	uri	Uridine_e
Base	Rhodobacter sphaeroides base medium	ins	Inosine_e
Base	Rhodobacter sphaeroides base medium	thymd	Thymidine_e
Base	Rhodobacter sphaeroides base medium	but	Butyrate_e
Base	Rhodobacter sphaeroides base medium	acac	Acetoacetate_e
Base	Rhodobacter sphaeroides base medium	(S)-3-Hydroxybutanoate	S_3_Hydroxybutanoate_e
Base	Rhodobacter sphaeroides base medium	5dglcn	5_Dehydrogluconate_e
Base	Rhodobacter sphaeroides base medium	D-Galactonolactone	D_Galactonolactone_e
Base	Rhodobacter sphaeroides base medium	CPD1344	CPD1344_e
Base	Rhodobacter sphaeroides base medium	L-alagly	L_alanylglycine_e
Base	Rhodobacter sphaeroides base medium	CPD1350	CPD1350_e
Base	Rhodobacter sphaeroides base medium	CPD1353	CPD1353_e
Base	Rhodobacter sphaeroides base medium	CPD1356	CPD1356_e
Base	Rhodobacter sphaeroides base medium	urate	Urate_e
Base	Rhodobacter sphaeroides base medium	xtsn	Xanthosine_e
Base	Rhodobacter sphaeroides base medium	gsn	Guanosine_e
Base	Rhodobacter sphaeroides base medium	Cytidine	Cytidine_e
Base	Rhodobacter sphaeroides base medium	acgam	N_Acetyl_D_glucosamine_e
Base	Rhodobacter sphaeroides base medium	agm	Agmatine_e
Base	Rhodobacter sphaeroides base medium	citr-L	Citrulline_e
Base	Rhodobacter sphaeroides base medium	glu-D	D_Glutamate_e
Base	Rhodobacter sphaeroides base medium	tyr-L	L_Tyrosine_e
Base	Rhodobacter sphaeroides base medium	CPD1380	CPD1380_e
Base	Rhodobacter sphaeroides base medium	gly-met-L	Gly_Met_e
Base	Rhodobacter sphaeroides base medium	CPD1386	CPD1386_e
Base	Rhodobacter sphaeroides base medium	gly-gln-L	Gly_Gln_e
Base	Rhodobacter sphaeroides base medium	CPD1392	CPD1392_e
Base	Rhodobacter sphaeroides base medium	CPD1395	CPD1395_e
Base	Rhodobacter sphaeroides base medium	ala-L-leu-L	Ala_Leu_e
Base	Rhodobacter sphaeroides base medium	ala-L-his-L	Ala_His_e
Base	Rhodobacter sphaeroides base medium	CPD1404	CPD1404_e
Base	Rhodobacter sphaeroides base medium	ala-L-gln-L	Ala_Gln_e
Base	Rhodobacter sphaeroides base medium	CPD1410	CPD1410_e
Base	Rhodobacter sphaeroides base medium	CPD1413	CPD1413_e
Base	Rhodobacter sphaeroides base medium	CPD1416	CPD1416_e
Base	Rhodobacter sphaeroides base medium	alltn	Allantoin_e
Base	Rhodobacter sphaeroides base medium	hista	Histamine_e
Base	Rhodobacter sphaeroides base medium	ser-D	D_Serine_e
Base	Rhodobacter sphaeroides base medium	lys-D	D_Lysine_e
Base	Rhodobacter sphaeroides base medium	D-Asparagine	D_Asparagine_e
Base	Rhodobacter sphaeroides base medium	pppi	Triphosphate_e
Base	Rhodobacter sphaeroides base medium	ppi	PPi_e
Base	Rhodobacter sphaeroides base medium	cbp	Carbamoylphosphate_e
